Inizio traning con:  {'name_model': 'distilgpt2', 'eightbit': False, 'name_dataset': 'wikitext', 'device': 'cuda', 'target_sparsity': 0.9, 'ppl_tolerance_frac': 0.05, 'beta': 1.0, 'R_limit': 30, 'num_searches': 64, 'top_k': 32, 'C': 1.5, 'batch_size': 32, 'num_iterations': 50, 'num_selfPlay_iterations': 100, 'num_epochs': 50, 'kl_threshold': 0.1}
[utils] distilgpt2:    786 blocchi da 64 neuroni
[utils] text dataset ('wikitext', 'wikitext-2-raw-v1') – 10 sequenze da 128
PPL baseline (distilgpt2 full): 1441.50


--> inizio ad imparare

Loss:  tensor(1331.7324, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7261, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6582, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6958, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.8151, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6882, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7905, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7509, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7128, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7975, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7416, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7793, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6907, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7284, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6792, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.8011, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7268, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6864, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7872, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6854, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.8953, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6632, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6754, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7155, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.8760, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7106, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7656, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7372, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6831, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6923, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7180, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7473, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6694, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6562, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.9227, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6460, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7054, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.8052, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7264, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6917, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7821, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6918, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.9960, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7183, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7222, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6495, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7194, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7886, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7194, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7805, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7435, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6858, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7257, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7201, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6694, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7463, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7355, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6913, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7063, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7426, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.8458, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7303, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7201, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.8002, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6715, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.8389, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7365, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6611, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6594, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6663, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6755, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6832, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6863, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6583, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6884, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6503, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7081, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6429, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6440, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6763, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7716, device='cuda:0', grad_fn=<AddBackward0>)
[Iter 0] Epoch 2/50 – mem 3000
Loss:  tensor(1331.6801, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6489, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6494, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6465, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6672, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6437, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7004, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6549, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6466, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6608, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6550, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6562, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6428, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6564, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6438, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6512, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6504, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7070, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6544, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7780, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6426, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6565, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6428, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7031, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6825, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6439, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7057, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6453, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6599, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6522, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7533, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7057, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6573, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7919, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6489, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6453, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6416, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6423, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6630, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7286, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6488, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6428, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7479, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6464, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6801, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6443, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6488, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6426, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6978, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7073, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6628, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6467, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6425, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6554, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6483, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6774, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6506, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6425, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6455, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6454, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6428, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6418, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6475, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6544, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6421, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6730, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6478, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6433, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6423, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6450, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6461, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6469, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6436, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6461, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6442, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6434, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7827, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6550, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6423, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6417, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6417, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6428, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6475, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6471, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6423, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7556, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6475, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6416, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6432, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6816, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6614, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6526, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6420, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6423, device='cuda:0', grad_fn=<AddBackward0>)
[Iter 0] Epoch 3/50 – mem 3000
Loss:  tensor(1331.6421, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6417, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6421, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6539, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6426, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6421, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6667, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6549, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6418, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6429, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6427, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6418, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6439, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6425, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6426, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7783, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6431, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6683, device='cuda:0', grad_fn=<AddBackward0>)
